ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
DPWGn.DE,2013,11,12,/Users/min/brexit-uncertainty/src/processed/2013/DPWGn.DE-2013-11-12-140654996696.txt,0.0,0.0,-0.0,4.0,73.0
BP.L,2013,07,30,/Users/min/brexit-uncertainty/src/processed/2013/BP.L-2013-07-30-140417902762.txt,0.0,0.0,-0.0,8.0,-57.0
LLY.N,2013,04,24,/Users/min/brexit-uncertainty/src/processed/2013/LLY.N-2013-04-24-138151103478.txt,0.0,0.0,-0.0,1.0,2.0
ULVR.L,2013,01,23,/Users/min/brexit-uncertainty/src/processed/2013/ULVR.L-2013-01-23-140768961785.txt,0.0,0.0,-0.0,4.0,89.0
ULVR.L,2013,10,24,/Users/min/brexit-uncertainty/src/processed/2013/ULVR.L-2013-10-24-138164413148.txt,0.0,0.0,-0.0,4.0,10.0
F.N,2013,10,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-10-24-136994481996.txt,0.0,0.0,-0.0,4.0,9.0
7203.T,2013,02,05,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-02-05-139314267214.txt,0.0,0.0,-0.0,0.0,-1.0
ULVR.L,2013,07,25,/Users/min/brexit-uncertainty/src/processed/2013/ULVR.L-2013-07-25-137345419573.txt,0.0,0.0,-0.0,7.0,130.0
AZN.L,2013,10,31,/Users/min/brexit-uncertainty/src/processed/2013/AZN.L-2013-10-31-138612541449.txt,0.0,0.0,-0.0,10.0,32.0
BARC.L,2013,02,13,/Users/min/brexit-uncertainty/src/processed/2013/BARC.L-2013-02-13-140595854486.txt,0.0,0.0,-0.0,14.0,3.0
F.N,2013,07,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-07-24-139980448368.txt,0.0,0.0,-0.0,8.0,135.0
TSCO.L,2013,10,02,/Users/min/brexit-uncertainty/src/processed/2013/TSCO.L-2013-10-02-140020697425.txt,0.0,0.0,-0.0,5.0,145.0
KRFT.O,2013,05,02,/Users/min/brexit-uncertainty/src/processed/2013/KRFT.O-2013-05-02-139658883669.txt,0.0,0.0,-0.0,3.0,82.0
BARC.L,2013,07,30,/Users/min/brexit-uncertainty/src/processed/2013/BARC.L-2013-07-30-139997364908.txt,0.0,0.0,-0.0,8.0,2.0
7203.T,2013,08,02,/Users/min/brexit-uncertainty/src/processed/2013/7203.T-2013-08-02-139647060577.txt,0.0,0.0,-0.0,1.0,-1.0
JNJ.N,2013,01,22,/Users/min/brexit-uncertainty/src/processed/2013/JNJ.N-2013-01-22-139766127942.txt,0.0,0.0,-0.0,9.0,171.0
F.N,2013,07,24,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-07-24-140510040589.txt,0.0,0.0,-0.0,1.0,21.0
F.N,2013,01,29,/Users/min/brexit-uncertainty/src/processed/2013/F.N-2013-01-29-137306625477.txt,0.0,0.0,-0.0,10.0,65.0
